URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,Cluster,Predicted_Type,Anomaly
Netclan20241046,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function-2/,31,5,0.7222222021604945,0.0677966100418143,13.6153842662722,0.2485875701533191,5.545588734570208,13.6153842662722,132,531,2.041431257925741,1,7.282485861991552,1,Blog,Normal
Netclan20241047,https://insights.blackcoffer.com/ai-driven-backend-for-audio-to-text-conversion-and-analytical-assessment-in-pharmaceutical-practice/,24,5,0.655172391200952,0.06131078211139369,12.44736809349032,0.2917547562542183,5.095649139897813,12.44736809349032,138,473,2.122621559994458,2,7.338266369263708,1,Blog,Normal
Netclan20241048,https://insights.blackcoffer.com/cloud-based-web-application-for-financial-data-processing-and-visualization-of-sp-500-metrics/,63,16,0.5949367013299152,0.1280388976855123,19.28124939746096,0.3387358179274946,7.847994086155381,19.28124939746096,209,617,2.251215555508565,5,7.781199339090438,1,Blog,Anomalous
Netclan20241049,https://insights.blackcoffer.com/department-wise-kpi-tracking-dashboard-with-technician-performance-analysis-for-atoz-dependable-service/,35,5,0.7499999812500006,0.05517241371700356,16.11111075308643,0.2799999996137931,6.556444301080089,16.11111075308643,203,725,2.056551721301308,1,7.256551714128894,1,Blog,Normal
Netclan20241050,https://insights.blackcoffer.com/steps-to-convert-a-node-js-api-to-python-for-aws-lambda-deployment/,24,6,0.5999999800000007,0.0753768842327214,15.91999936320003,0.2638190948145249,6.47352738320582,15.91999936320003,105,398,2.067839190784324,1,7.198492444224893,1,Blog,Normal
Netclan20241051,https://insights.blackcoffer.com/building-an-analytics-dashboard-with-a-pdf-parsing-pipeline-for-data-extraction/,39,30,0.1304347807183365,0.06371191129851161,9.756756668858047,0.3167128344259346,4.029387801313593,9.756756668858047,343,1083,2.140350875216666,1,7.427516151959818,1,Blog,Anomalous
Netclan20241052,https://insights.blackcoffer.com/building-a-real-time-log-file-visualization-dashboard-in-kibana/,26,27,-0.01886792417230332,0.07993966805438964,9.471428436122451,0.2880844641205362,3.903805160097196,9.471428436122451,191,663,2.05882352630645,2,7.250377062970774,1,Blog,Normal
Netclan20241053,https://insights.blackcoffer.com/analyzing-the-impact-of-female-ceo-appointments-on-company-stock-prices/,20,9,0.3793103317479196,0.04982817860854265,9.864406612467684,0.3900343635910062,4.101776390423477,9.864406612467684,227,582,2.341924394601504,6,7.907216481259078,1,Blog,Normal
Netclan20241054,https://insights.blackcoffer.com/ai-chatbot-using-llm-langchain-llama/,39,7,0.6956521587901705,0.06824925805897736,13.47999973040001,0.3175074179265469,5.519002859330622,13.47999973040001,214,674,2.164688424087999,3,7.545994054086062,1,Blog,Normal
Netclan20241055,https://insights.blackcoffer.com/healthcare-ai-chatbot-using-llama-llm-langchain/,73,14,0.6781609117452769,0.1087499998640625,6.837606779165754,0.19499999975625,2.813042711568802,6.837606779165754,156,800,1.926249997592187,30,6.807499991490625,1,Blog,Anomalous
Netclan20241056,https://insights.blackcoffer.com/ai-bot-audio-to-audio/,7,0,0.9999998571428775,0.02422145320338598,11.11538418786984,0.2595155700362783,4.549959903162446,11.11538418786984,75,289,2.006920408280552,2,6.958477484572742,0,News,Normal
